M,Nbus,S,bias_scale,epochs,gnn_dropout,gnn_hidden,gnn_layers,gnn_type,hidden,layers,lr,nhead,tag,test_theta_deg,test_|V|,trust_lambda,use_bus_smooth,use_gnn,use_mask,val_loss,w_temp_th,w_temp_vm,wls_theta_deg,wls_|V|
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,6.323382089965223,0.02132701501250267,0.001,False,False,False,0.013029275462031364,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.755117608096155,0.01847952790558338,0.001,True,False,False,0.010155991651117802,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.991230417514327,0.019590442068874836,0.001,False,False,True,0.01770625449717045,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,5.868826597398527,0.019136251881718636,0.001,True,False,True,0.012554551474750042,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.6236470440736896,0.01324393693357706,0.001,False,True,False,0.00018185235967393965,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.6456674138752521,0.015638459473848343,0.001,True,True,False,0.000245919480221346,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.71225490141328,0.014699788298457861,0.001,False,True,True,0.0003074078995268792,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.0,128,4,tag,256,2,0.001,4,W96,0.6495678520977262,0.013876203913241625,0.001,True,True,True,0.00022184211411513388,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,6.288665092187695,0.01961370650678873,0.001,False,False,False,0.012262249365448952,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,5.794169428119115,0.017947835847735405,0.001,True,False,False,0.011299772188067436,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,6.299846325302417,0.021578732877969742,0.001,False,False,True,0.012233976274728775,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,5.787576161135937,0.01814349554479122,0.001,True,False,True,0.013606393709778786,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,1.280589552803899,0.018490344285964966,0.001,False,True,False,0.0005748801049776375,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.6718422729199013,0.014067437034100294,0.001,True,True,False,0.0004402503545861691,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.7569222575119006,0.017624403350055218,0.001,False,True,True,0.0005183910252526402,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,1.0,100,0.1,128,4,tag,256,2,0.001,4,W96,0.9161508290944114,0.017805946059525013,0.001,True,True,True,0.0005064478609710932,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.527552879399595,0.019071586430072784,0.01,False,False,False,0.016561884433031082,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,5.297740180185187,0.01890032272785902,0.01,True,False,False,0.010708391666412354,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,6.739368358062503,0.021304387599229813,0.01,False,False,True,0.012455075047910213,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,5.657575890002615,0.017426046542823315,0.01,True,False,True,0.011046893894672394,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.6956988963911392,0.012589975725859404,0.01,False,True,False,0.0004347540088929236,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.6304707765805027,0.011623485013842583,0.01,True,True,False,0.00033435196382924914,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,1.171914519641532,0.014725538901984692,0.01,False,True,True,0.0006288813310675323,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.0,128,2,tag,256,2,0.001,4,W96,0.8352933688329343,0.014700513333082199,0.01,True,True,True,0.00044900382636114955,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,6.64351711178854,0.02451808750629425,0.01,False,False,False,0.01437021978199482,0.0001,0.0001,7.7133693419621885,0.09075134247541428
72,33,66,2.0,100,0.1,128,2,tag,256,2,0.001,4,W96,5.486352439020504,0.017727356404066086,0.01,True,False,False,0.010776967741549015,0.0001,0.0001,7.7133693419621885,0.09075134247541428
